PK0001,Eternal Blossom,Full service wedding package (decor + MC + Photo),8888.000000
PK0002,Starlight Harmony,Essential package (decor + sound),5888.000000
PK0003,Garden Serenity,Outdoor garden theme (floral + arch + aisle),6888.000000
PK0004,Royal Grandeur,Premium ballroom theme with crystal set,12888.000000
PK0005,Intimate Chic,Small gathering minimalist theme,3888.000000
PK0006,Ocean Pearl,Blue sea theme (backdrop + lighting),7588.000000
PK0007,Rustic Charm,Wood rustic theme fairy lights,4988.000000
PK0008,Glam Gala,Red carpet glam theme spotlight,9888.000000
PK0009,Moonlight Sonata,Silver moonlight theme live piano,8288.000000
PK0010,Minimalist Bliss,All white minimalist theme,3188.000000
